phase,shard,slice,num_samples,acc,f1,train_loss,wall_clock,gpu_mem_gb
baseline,0,0,750,0.3414,0.3155425827693818,1.5793514674504598,16.419392585754395,0.021714210510253906
baseline,0,1,750,0.4162,0.39528563625010704,1.2804293985366821,14.310189247131348,0.021714210510253906
baseline,0,2,750,0.4676,0.4501090310955623,1.1771205418904622,14.314599990844727,0.021714210510253906
baseline,1,0,750,0.3582,0.32369631227771384,1.538247687657674,14.4289071559906,0.021714210510253906
baseline,1,1,750,0.432,0.41323555966480935,1.2646240202585857,14.397992134094238,0.021714210510253906
baseline,1,2,750,0.4862,0.46606737670719567,1.1893429374694824,14.82206106185913,0.021714210510253906
baseline,2,0,750,0.358,0.33230950320085967,1.5331339763005574,14.40372371673584,0.021714210510253906
baseline,2,1,750,0.4526,0.4351107567856589,1.2578521744410196,14.406753063201904,0.021714210510253906
baseline,2,2,750,0.491,0.4732303254206761,1.0867201086680094,14.484731912612915,0.021714210510253906
baseline,3,0,750,0.376,0.3494115556765289,1.5182007621129354,14.404734373092651,0.021714210510253906
baseline,3,1,750,0.4478,0.42523947444021004,1.2455577646891276,14.405384063720703,0.021714210510253906
baseline,3,2,750,0.4768,0.4603003835585231,1.1574051774342855,14.402553081512451,0.021714210510253906
baseline,4,0,750,0.356,0.3428024716411605,1.568405886967977,14.743268251419067,0.021714210510253906
baseline,4,1,750,0.425,0.4072487431122822,1.2694712947209676,14.431472063064575,0.021714210510253906
baseline,4,2,750,0.4578,0.4417397808724872,1.1517845671971638,14.464887380599976,0.021714210510253906
baseline,5,0,750,0.3732,0.34273189696196493,1.5614785013198853,14.431586742401123,0.021714210510253906
baseline,5,1,750,0.41,0.3785642555534183,1.221504837989807,14.473202228546143,0.021714210510253906
baseline,5,2,750,0.4624,0.4451052566116534,1.1669117148717245,14.42433214187622,0.021714210510253906
baseline,6,0,750,0.3456,0.321691287853941,1.5737849458058675,14.429050922393799,0.021714210510253906
baseline,6,1,750,0.404,0.3785781434617182,1.2885746800104776,14.469852924346924,0.021714210510253906
baseline,6,2,750,0.478,0.45741978590951377,1.1689086532592774,14.47477412223816,0.021714210510253906
baseline,7,0,750,0.3564,0.33358700555097814,1.519689723332723,14.458391189575195,0.021714210510253906
baseline,7,1,750,0.4312,0.4060352815961807,1.3452176332473755,14.45022439956665,0.021714210510253906
