slice,epoch,loss,acc,f1,lr,wall_clock,gpu_mem_gb
shard00_slice01,1,1.8246253652368638,0.3611111044883728,0.33451028237599567,0.001,3.423689603805542,0.021691322326660156
shard00_slice01,2,1.6968341084087597,0.39814814925193787,0.36151510098856887,0.0009938441702975688,4.029668092727661,0.021691322326660156
shard00_slice01,3,1.678813565861095,0.34259259700775146,0.28525315226056636,0.0009755282581475768,4.661111116409302,0.021691322326660156
shard00_slice01,4,1.61950748871992,0.4166666567325592,0.38724917732564784,0.0009455032620941839,5.291325330734253,0.021691322326660156
shard00_slice01,5,1.5930943814190952,0.43518519401550293,0.38723845512255206,0.0009045084971874737,5.925050497055054,0.021691322326660156
shard00_slice01,6,1.5677542297597875,0.49074074625968933,0.4681862576590647,0.0008535533905932737,6.5612592697143555,0.021691322326660156
shard00_slice01,7,1.5095920212128584,0.4166666567325592,0.4032083251104758,0.0007938926261462366,7.194697856903076,0.021691322326660156
shard00_slice01,8,1.471818530623288,0.45370370149612427,0.40839968629341683,0.0007269952498697733,7.829174757003784,0.021691322326660156
shard00_slice01,9,1.4834552557073175,0.37962964177131653,0.35888099204891194,0.0006545084971874737,8.461902141571045,0.021691322326660156
shard00_slice01,10,1.440544396798241,0.40740740299224854,0.36642205058248256,0.0005782172325201155,9.097016096115112,0.021691322326660156
shard00_slice01,11,1.4362707616173647,0.3888888955116272,0.38137140585535473,0.0005,9.730365753173828,0.021691322326660156
shard00_slice01,12,1.3649776734132817,0.5,0.47450202836131217,0.0004217827674798847,10.36638331413269,0.021691322326660156
shard00_slice01,13,1.420994993837122,0.49074074625968933,0.4564753185171472,0.00034549150281252633,11.000463008880615,0.021691322326660156
shard00_slice01,14,1.351303750818426,0.45370370149612427,0.4269616505793022,0.00027300475013022663,11.634085655212402,0.021691322326660156
shard00_slice01,15,1.3395987551480053,0.5925925970077515,0.5491940096272352,0.00020610737385376348,12.270184993743896,0.021691322326660156
shard00_slice01,16,1.3380319804431282,0.5370370149612427,0.5429799498056193,0.00014644660940672625,12.904712915420532,0.021691322326660156
shard00_slice01,17,1.29520722952756,0.5277777910232544,0.49178864566241715,9.549150281252631e-05,13.540452241897583,0.021691322326660156
shard00_slice01,18,1.264932830065967,0.5925925970077515,0.5580263848684581,5.4496737905816096e-05,14.174369812011719,0.021691322326660156
shard00_slice01,19,1.2925098401339934,0.5,0.4966080347006849,2.447174185242323e-05,14.805832386016846,0.021691322326660156
shard00_slice01,20,1.25201937604078,0.5648148059844971,0.5547431472749281,6.15582970243117e-06,15.440703868865967,0.021691322326660156
shard00_slice02,1,1.7924906535842549,0.3944953978061676,0.4084797911602619,0.001,0.6003108024597168,0.02170276641845703
