percent_deleted,K,S,retrained_slices,total_slices,fraction_retrained,baseline_time,retrain_time,time_saved
0.02,20,3,17,60,0.2833333333333333,888.2677540779114,249.90125393867493,638.3665001392365
1.0,20,3,60,60,1.0,888.2677540779114,877.0454082489014,11.22234582901001
5.0,20,3,60,60,1.0,888.2677540779114,857.1494562625885,31.11829781532288
